cantor,code,titulo,inicio da letra,p
Alexandre Pires,7696,SE ELA ME AMASSE,Se ela me amasse,11B
Alexandre Pires,7603,EU TIRO A SUA ROUPA,Às vezes em silêncios a emoção me fa,11C
Alexandre Pires,7697,SEM TEU AMOR NADA É IGUAL,Me pego remexendo em suas coisas,11C
Alexandre Pires,9575,A DEUS EU PEÇO,Que a menina dos meus olhos,14A
Alexandre Pires,1210,CIGANO,Era lindo o nosso amor ,16B
Alexandre Pires,1472,SÓ POR UM MOMENTO,"Olha aqui, não fique esperando",17D
Alexandre Pires,1532,MULHER DAS ESTRELAS,Ela canta demais,18B
Alexandre Pires,1558,LEVE TUDO COM VOCÊ,Como pude mentir o meu bem eu traí,18B
Alexandre Pires,1786,ERRO MEU,Se o amor bater deixa entrar ,19D
Alexandre Pires,2877,SISSI,Laiá laiá laiá... Ai que dede que dede que delícia ,22C
Alexandre Pires,15834,QUEM É VOCÊ,Eu descobri quem você é posso estar equivocado mas,28A
Alexandre Pires,6198,USTED SE ME LLEVÓ LA VIDA,Usted se me llevó la vida…,5C
Alexandre Pires,6251,É POR AMOR,A noite de lua cheia é quase…,5E
Alexandre Pires,6302,NECESSIDADE,Beijar tua boca é a minha aventura…,5F
Alexandre Pires,6443,A MUSA DAS MINHAS CANÇÕES,No palco de um pequeno bar…,6B
Alexandre Pires,6640,VEM ME AMAR (AMAME),Vem aqui doce amor…,6F
Alexandre Pires,6649,"BUM, BUM, BUM",Amiga olha só como mudou a vida...,7A
Alexandre Pires,6816,COISA DO DESTINO,Isso é coisa do destino eu sofri,7E
Alexandre Pires,6988,TIRA ELA DE MIM,Tira a lembrança que ela deixou…,8C
Alexandre Pires ,1073,DESSA VEZ EU ME RENDO ,Dizem que amor não mata mas judia da,15A
Alexandre Pires - Seu Jorge,15408,EU SOU O SAMBA,Coisa linda muito prazer hoje você vai,25C
Alexandre Pires e Daniel,1106,CHEGUEI TARDE DEMAIS,Não faz não quer não vem não fala nada,15B
Alexandre Pires E Fat Family,6764,AO SENTIR O AMOR,A sensação de ver você chegar...,7D
Alexandre Pires e Revelação,9655,DELÍRIOS DE AMOR,Me lembro o dia que cheguei,14A
Aliados,1153,SORRINDO,Ontem um sonho acabou,15C
Aliados,15446,ÁGUAS PASSADAS,Deixa rolar deixa fluir,25D
Aliados,15455,ESPERANÇA,Enquanto ela estiver aqui,25D
Alice,2266,IMA WA MOH DARE MO,Ima wa moh dare mo aishitakunai no,JP5B
Alice ,5117,FUYU NO INAZUMA,Anata wa inazuma no youni,JP1
Alice Cooper,9144,NO MORE MR. NICE GUY,I used to be such a sweet sweet thing…,"INT02, 8D"
Alice Cooper,2526,I NEVER CRY,If there's a tear on my face,INT04A
Alice Cooper,19699,HOW YOU GONNA SEE ME NOW,Dear Darlin' surprised to hear from me,INT09B
Alicia Bridges,19846,I LOVE THE NIGHTLIFE,Please don't talk about love tonight,INT10B
Alicia keys,4890,FALLIN',I keep on fallin' in and out love with...,"INT01, USA2B"
Alicia Keys,2568,NO ONE,I just want you close,INT04B
Alicia Keys,19207,GIRL ON FIRE,She's just a girl and she's on fire,INT06B
Alicia Keys,19529,IF I AIN'T GOT YOU,Some people live for the fortune,INT08B
Alien Ant Farm,4966,SMOOTH CRIMINAL,Ough! ...,"INT01,USA2C"
Aline Barros,9527,RECOMEÇAR,Pai,13E
Aline Barros,1809,RESSUSCITA-ME,Mestre eu preciso de um milagre,20A
Aline Barros,1878,"SONDA-ME, USA-ME",Sonda-me Senhor e me conhece,20B
Aline Barros,15488,DEUS EXTRAORDINÁRIO,Em toda história não se ouviu falar de um,26A
ALINE BARROS,5605,CONSAGRAÇÃO,Ao Rei dos Reis consagro tudo...,EVA
ALINE BARROS,5606,DEUS DO IMPOSSÍVEL,O meu Deus é o Deus do Impossível...,EVA
ALINE BARROS,5610,FICO FELIZ,U u... Fico feliz em vir em Tua casa...,EVA
ALINE BARROS,5615,JESUS CRISTO MUDOU MEU VIVER,U ei ê... Jesus Cristo mudou meu viver...,EVA
ALINE BARROS,5616,JESUS FAZ PARTE,É eu pude crer e ver o seu poder...,EVA
Aline Barros,2413,CARPINTEIRO,Um carpinteiro um homem simples,EVAN04A
Aline Barros,2429,PODER PRA SALVAR,Todos necessitam de um amor perfeito,EVAN04A
Aline Barros,2438,VENTO DO ESPÍRITO,O vento sopra só ele sabe para onde,EVAN04A
Aline Barros,2468,REI MEU,Toda Terra está cheia da tua glória,EVAN04B
Aline Barros,2469,RENDIDO ESTOU,Toma-me rendido estou,EVAN04B
Aline Barros,2948,AO ÚNICO,Ao Único que é digno de receber,EVAN04C
Aline Barros,2499,SANTIDADE,O meu melhor quero Te dar me derramar,EVAN04C
Aline Barros,2964,ÁGUAS DO TRONO,Águas que fluem do coração do Senhor,EVAN04D
Aline Barros,2967,APAIXONADO,Você mudou meu jeito de pensar,EVAN04D
Aline Barros,7771,DIGNO É O SENHOR,Graças eu te dou Pai pelo preço que pa,EVB
Aline Barros,7866,RENOVA-ME SENHOR,Renova-me renova-me renova-me Senhor,EVD
Aline Barros (Crianças),2450,DANÇA DO PINGUIM,É assim assim,EVAN04B
Aline Barros (Crianças),2455,HOMENZINHO TORTO,Havia um homenzinho torto,EVAN04B
Aline Barros (Crianças),2465,PULA-PULA,Hoje é dia de brincar pular dançar ,EVAN04B
Aline Calixto,2867,FLOR MORENA,Flor morena que manda no meu coração,22C
Alinne Rosa,15650,COMPLICAMOS DEMAIS,Se eu fechar meus olhos posso te ver,27A
Alisson e Ryan,1388,NÃO SOU SEU BRINQUEDO,Pára dá um tempo vê se larga do meu,17B
All-4-One,4669,I SWEAR,I swear,USAA
Allen Stone,19231,SLEEP,Spend my nights howlin' at the moon,INT06B
Almir Guinéto,16189,MEL NA BOCA,Ohhh quanta mentira suportei ,30B
Almir Rogério,1508,MOTOQUEIRO,Tudo certo para o nosso casamento,18A
Almir Rogério,3877,FUSCÃO PRETO,Me disseram que ela foi vista com,2G
Almir Sater,9559,VARANDAS,A noite é um mistério que eu finjo co,13D
Almir Sater,9509,PEÃO,Diga você me conhece eu já fui boiad,13E
Almir Sater,1425,HORA DO CLARÃO,Ana Raio e Zé Trovão diz a sabedoria,17C
Almir Sater,2939,TRAVESSIA DO ARAGUAIA,Naquele estradão deserto uma boiada,22D
Almir Sater,4379,UM VIOLEIRO TOCA,Quando uma estrela cai na escuridão da,4C
Alok - Bruno Martini,19820,HEAR ME NOW,If you get to hear me now,INT10A
Alok - Mathieu Koss,19857,BIG JET PLANE,Hello mister pleased to meet you,INT10B
Alphaville,2577,FOREVER YOUNG,Let's dance in style let's dance for ,INT04B
Alphaville ,9245,BIG IN JAPAN , Winter's cityside ,"INT02, A45"
Altemar Dutra,9349,TUDO DE MIM,De que é feito afinal esse seu coraç,12E
Altemar Dutra,1610,MURMURA AO MAR,Murmura o mar a derramar uma canção,18D
Altemar Dutra,3540,SENTIMENTAL DEMAIS,"Sentimental eu sou, eu sou demais",1J
Altemar Dutra,16090,COMO DESEJO TEU AMOR,Como desejo teu amor quando me lembro,29D
Altemar Dutra,3872,ESTÃO VOLTANDO AS FLORES,Vê...estão voltando as flores vê,2G
Altemar Dutra,3926,O TROVADOR,Sonhei que eu era um dia um,2H
Altemar Dutra,4067,BRIGAS,Veja só que tolice nós dois,3D
Altemar Dutra,4130,QUE QUERES TU DE MIM,Que queres tú de mim?,3E
Altemar Dutra,4465,BALADA TRISTE,Balada triste que me faz lembrar alguém...,4F
Altemar Dutra,6277,SOMOS IGUAIS,Acabei de saber que você riu de mim…,5E
Altemar Dutra,6422,MEU VELHO (MI VIEJO),É um bom tipo meu velho e anda só…,6A
Altemar Dutra,6496,MARIA HELENA,Maria Helena és tu a minha inspiração…,6C
Altemar Dutra,6608,CONTIGO APRENDI,Contigo aprendi…,6F
Altemar Dutra,7045,A PRETENDIDA,Reclamas que te faltam meus carinhos,9A
Altemar Dutra,7268,VAI ANDORINHA,Ao ver passar no céu as andorinhas,9A
Altemar Dutra,7072,BLOCO DA SOLIDÃO,Angústia solidão um triste adeus,9B
Altemar Dutra,7181,MODINHA,Olho a rosa na janela sonho um sonho,9B
Altemar Dutra,7128,EU SONHEI QUE TU ESTAVAS TÃO LINDA,Eu sonhei que tu estavas tão linda,9F
Altemar Dutra - Martha Mendonça,1800,VELHA COMPANHEIRA,Não tenho ódio dentro do meu peito ,19D
Álvaro e Daniel,1505,AQUI É O SEU LUGAR,É pra você,18A
Alvaro Tito,5557,NÃO CHORE,"Tua vida em perigo, se envolver",EVAN101
Alvim and The Chipmunks,5883,CHRISTMAS DON'T BE LATE,Christmas Christmas time is near,"INT03, USA3D"
Amado Batista,7496,AMANTES,Já amanheceu,11A
Amado Batista,7583,DESISTO,Rosto que beijei corpo que abracei,11E
Amado Batista,7656,O PRÍNCIPE,Eu não esqueço,11E
Amado Batista,9355,VÁ EMBORA,Vá embora do meu mundo,12A
Amado Batista,9417,CHUVA DE VENTO,Vento que venta lá fora leva esta sau,13B
Amado Batista,9880,SERESTEIRO DAS NOITES,Existem momentos na vida que lembramo,14A
Amado Batista,9632,CARTA SOBRE A MESA,Deixe-me renascer viver e crescer,14C
Amado Batista,9677,EU QUERO É NAMORAR,Eu pensei,14C
Amado Batista,9604,AMIGO FORTE,Como é linda a vida quando vivida,14E
Amado Batista,1683,AMOR MEU LOUCO AMOR,Além do teu olhar o que mais pode ,19B
Amado Batista,1921,NÃO QUERO FALAR COM ELA,Se ela ligar outra vez,20D
Amado Batista,2811,MUITOS COMPROMISSOS,Quanto tempo você vai chorar por mim,22A
